Date : 2026-03-28 14:14:27
Directory : c:\GLAVPROJECTS\amazon-dip\frontend
Total : 121 files,  9049 codes, 219 comments, 682 blanks, all 9950 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\auth\apple.svg                               | XML                |          4 |          0 |          1 |          5 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\auth\google.svg                              | XML                |          6 |          0 |          1 |          7 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\auth\sellerAcc\lightning.svg                 | XML                |          7 |          0 |          1 |          8 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\auth\twitter.svg                             | XML                |          3 |          0 |          1 |          4 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\basket\bag.svg                               | XML                |          4 |          0 |          1 |          5 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\catalog\arrowR.svg                           | XML                |          4 |          0 |          1 |          5 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\productCard\starNo.svg                       | XML                |          4 |          0 |          1 |          5 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\productCard\starYea.svg                      | XML                |          4 |          0 |          1 |          5 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\sellerAcc\ava.svg                            | XML                |          3 |          0 |          1 |          4 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\sellerAcc\kol.svg                            | XML                |          5 |          0 |          1 |          6 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\yommingo\YomingoLogo.svg                     | XML                |          3 |          0 |          1 |          4 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\yommingo\account.svg                         | XML                |          5 |          0 |          1 |          6 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\yommingo\face.svg                            | XML                |         11 |          0 |          1 |         12 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\yommingo\inst.svg                            | XML                |         17 |          0 |          1 |         18 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\yommingo\nav.svg                             | XML                |          6 |          0 |          1 |          7 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\yommingo\search-normal.svg                   | XML                |          4 |          0 |          1 |          5 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\yommingo\tel.svg                             | XML                |         15 |          0 |          1 |         16 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\yommingo\tick.svg                            | XML                |          5 |          0 |          1 |          6 |
| c:\GLAVPROJECTS\amazon-dip\frontend\public\imgs\icons\yommingo\you.svg                             | XML                |         11 |          0 |          1 |         12 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\App.tsx                                                    | TypeScript JSX     |         51 |          3 |          5 |         59 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\api\auths.ts                                               | TypeScript         |         39 |          4 |          8 |         51 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\api\basket.ts                                              | TypeScript         |         11 |          0 |          3 |         14 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\api\fetchClient.ts                                         | TypeScript         |         46 |          0 |         11 |         57 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\api\product.ts                                             | TypeScript         |         41 |          0 |          7 |         48 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\api\seller.ts                                              | TypeScript         |         10 |          0 |          1 |         11 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\api\user.ts                                                | TypeScript         |         10 |          0 |          1 |         11 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\assets\CardItem.tsx                                        | TypeScript JSX     |         30 |          0 |          5 |         35 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\assets\CardList.tsx                                        | TypeScript JSX     |         16 |          0 |          2 |         18 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\assets\CatalogSlider\CatalogSlider.tsx                     | TypeScript JSX     |         41 |          0 |          6 |         47 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\assets\CatalogSlider\index.ts                              | TypeScript         |          1 |          0 |          0 |          1 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\assets\Divider.tsx                                         | TypeScript JSX     |          8 |          2 |          1 |         11 |
| c:\GLAVPROJECTS\amazon-dip\frontend\src\assets\Footer.tsx                                          | TypeScript JSX     |         57 |          0 |          7 |         64 |
