"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "SCSS", "HTML", "Markdown", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\GLAVPROJECTS\amazon-dip\frontend\src\assets\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 7, 64
"c:\GLAVPROJECTS\amazon-dip\frontend\src\assets\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 1, 38
"c:\GLAVPROJECTS\amazon-dip\frontend\src\assets\Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 1, 9
"c:\GLAVPROJECTS\amazon-dip\frontend\src\assets\SocialLinks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 2, 2, 23
"c:\GLAVPROJECTS\amazon-dip\frontend\src\auth\auth.helper.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\GLAVPROJECTS\amazon-dip\frontend\src\context\Providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\GLAVPROJECTS\amazon-dip\frontend\src\context\Providers\BasketProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 1, 12, 53
"c:\GLAVPROJECTS\amazon-dip\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 2, 17
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\LoginSellerAccount\LoginSellerAccount.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 11, 115
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\LoginSellerAccount\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Login\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 71, 0, 7, 10, 88
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Login\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\PasswordReset\PasswordReset.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 2, 10
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\PasswordReset\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\RegisterSellerAccount\RegisterSellerAccount.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 12, 166
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\RegisterSellerAccount\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Register\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 87, 0, 8, 13, 108
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Register\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\ResetSellerAccount\ResetSellerAccount.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 7, 56
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\ResetSellerAccount\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Reset\Reset.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 2, 2, 25
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Reset\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Welcome\Welcome.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 4, 3, 24
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Auth\Welcome\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\User\SellerAccount\SellerAccout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 167, 0, 1, 26, 194
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\User\SellerAccount\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\User\SellerAddProduct\SellerAddProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 358, 0, 0, 18, 376
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\User\SellerAddProduct\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\User\UserProfile\UserProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 9, 81
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\User\UserProfile\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoAboutPage\YommingoAboutPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 7, 124
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoAboutPage\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoBasket\YommingoBasket.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoBasket\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoCatalog\YommingoCatalog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 8, 107
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoCatalog\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoCountries\YommingoCountries.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 9, 102
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoCountries\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoMain\YommingoMain.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 92, 0, 2, 21, 115
"c:\GLAVPROJECTS\amazon-dip\frontend\src\pages\Yommingo\YommingoMain\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
